               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033647,             0.10022,             0.01694,             0.90949,             0.78103,             0.86757,             0.51869,            0.031676,             0.10403,            0.015698,            0.002872,            0.002872,            0.002872
                  38,            0.032735,             0.10035,             0.01649,             0.87677,             0.79083,             0.86559,             0.49918,            0.029329,             0.10212,            0.015375,            0.002674,            0.002674,            0.002674
                  39,             0.03264,             0.10137,            0.016215,             0.90792,             0.79923,             0.86855,             0.51906,            0.028843,             0.10178,            0.015093,            0.002476,            0.002476,            0.002476
                  40,            0.032067,             0.10085,            0.016158,             0.86873,               0.793,             0.85496,             0.48302,            0.029849,             0.10143,            0.014849,            0.002278,            0.002278,            0.002278
                  41,            0.032221,             0.10203,            0.015572,             0.86972,             0.80014,             0.85329,             0.52539,            0.029219,             0.10161,            0.014542,             0.00208,             0.00208,             0.00208
                  42,            0.030978,            0.099747,             0.01515,             0.90711,             0.81482,              0.8583,             0.50628,            0.030607,             0.10383,            0.014066,            0.001882,            0.001882,            0.001882
                  43,            0.031232,             0.10039,            0.014942,             0.86975,             0.80519,             0.85284,              0.5209,            0.028462,            0.099779,            0.013733,            0.001684,            0.001684,            0.001684
                  44,            0.030403,              0.1001,            0.014747,             0.88337,              0.8132,             0.85851,             0.52668,            0.028726,             0.10003,            0.013405,            0.001486,            0.001486,            0.001486
                  45,            0.030223,            0.099073,            0.014341,             0.89204,             0.82814,             0.86046,             0.52582,            0.028719,             0.10034,             0.01302,            0.001288,            0.001288,            0.001288
                  46,            0.029311,            0.096551,            0.013797,             0.90753,             0.82778,             0.86305,              0.5245,            0.028113,             0.10011,            0.012682,             0.00109,             0.00109,             0.00109
                  47,            0.029514,            0.098292,            0.013343,             0.91021,             0.82667,             0.86207,             0.53402,            0.027872,            0.099786,            0.012377,            0.000892,            0.000892,            0.000892
                  48,            0.029419,            0.098285,             0.01324,             0.91881,             0.82738,             0.86274,             0.53249,            0.027798,             0.10117,            0.012154,            0.000694,            0.000694,            0.000694
                  49,            0.028972,             0.09821,            0.013083,             0.91952,             0.82659,             0.86365,             0.52984,            0.027552,             0.09989,            0.011938,            0.000496,            0.000496,            0.000496
